From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2012-08-01,,,7.448333333333334,28.043333333333333,17.262083333333333,,3.901666666666667,1.18375,,,,,,,32.99208333333333,41.265,0.6616666666666666,291.71375,155.2675,1000.4975,0.45541666666666664
2012-08-02,,,8.112499999999999,26.32541666666667,17.14375,,1.6725,0.9754166666666667,,,,,,,33.23291666666667,42.701249999999995,0.6675,295.16875,200.56375,1000.2470833333333,0.4575
2012-08-03,,,8.912083333333333,26.385833333333334,17.827916666666667,,1.4591666666666667,0.995,,,,,,,31.13875,53.930416666666666,0.6354166666666666,285.42583333333334,63.72708333333333,999.5300000000001,0.45208333333333334
2012-08-04,,,6.913333333333334,30.212500000000002,18.132083333333334,,1.62125,0.8939130434782608,,,,,,,31.281666666666666,66.21166666666666,0.6229166666666667,274.44458333333336,91.67,998.8383333333333,0.4504166666666667
2012-08-05,,,6.625416666666666,25.31041666666667,15.544583333333334,,1.54,0.9591666666666666,,,,,,,31.709999999999997,66.72,0.6554166666666666,265.26666666666665,172.69125,998.7120833333333,0.4558333333333333
2012-08-06,,,8.295,27.756666666666664,17.97,,1.5999999999999999,0.9283333333333333,,,,,,,31.946250000000003,63.564166666666665,0.68,257.12416666666667,145.59125,999.1462499999999,0.45875
2012-08-07,,,10.987083333333333,23.37875,17.809166666666666,,2.1708333333333334,1.2147619047619047,,,,,,,31.80666666666667,67.24791666666667,0.6979166666666666,252.77666666666667,180.32000000000002,999.9250000000001,0.4604166666666667
2012-08-08,,,8.164583333333333,24.205,16.209583333333335,,0.4691666666666667,1.0125,,,,,,,30.773749999999996,71.72291666666666,0.69,263.10583333333335,140.50166666666667,1000.3833333333333,0.46208333333333335
2012-08-09,,,9.31875,19.562916666666666,14.744166666666667,,0.6166666666666666,1.0456521739130435,,,,,,,30.974166666666665,75.63208333333334,0.67125,278.0308333333333,155.89416666666668,999.23875,0.4566666666666667
2012-08-10,,,13.212916666666667,22.495833333333334,19.194166666666668,,0.57375,1.2795454545454545,,,,,,,31.652916666666666,64.91250000000001,0.665,287.87875,148.55166666666668,998.5804166666667,0.4558333333333333
2012-08-11,,,10.70875,19.407083333333333,15.860416666666666,,0.55875,1.0123809523809524,,,,,,,31.597083333333334,63.806666666666665,0.7041666666666666,305.2729166666667,179.74208333333334,999.855,0.46249999999999997
2012-08-12,,,8.50625,15.706666666666665,12.334166666666667,,0.38958333333333334,1.3534782608695652,,,,,,,31.094166666666666,69.40083333333334,0.6941666666666667,289.45875,167.78166666666667,1000.2920833333333,0.46125
2012-08-13,,,8.164166666666667,17.58125,12.937916666666666,,0.30791666666666667,1.1243478260869566,,,,,,,31.187916666666666,69.99833333333333,0.6608333333333333,290.1771428571429,163.1425,996.7479166666667,0.45375000000000004
2012-08-14,,,7.417916666666667,17.12625,12.233333333333334,,0.535,1.1070833333333334,,,,,,,29.77,83.845,0.6699999999999999,292.76272727272726,122.0625,1000.9175,0.4575
2012-08-15,,,6.164166666666667,13.896666666666667,9.704166666666667,,0.4275,1.0286363636363638,,,,,,,31.068749999999998,75.04541666666667,0.6470833333333333,293.192380952381,250.65833333333333,1000.7512499999999,0.45333333333333337
2012-08-16,,,6.783333333333334,16.233333333333334,11.16125,,0.42041666666666666,1.2385714285714287,,,,,,,30.73125,75.37208333333334,0.6495833333333333,282.9021052631579,206.87541666666667,1000.0666666666666,0.45333333333333337
2012-08-17,,,9.227916666666667,21.221666666666668,15.655833333333334,,0.5437500000000001,1.2314285714285713,,,,,,,31.78833333333333,68.34958333333334,0.65,303.5566666666667,221.06958333333333,999.1770833333334,0.45333333333333337
2012-08-18,,,9.29125,17.544583333333332,13.901666666666666,,0.5812499999999999,2.086666666666667,,,,,,,32.38375,60.04833333333334,0.6591666666666667,315.7490909090909,167.59083333333334,997.9545833333333,0.45458333333333334
2012-08-19,,,7.199166666666667,12.0875,9.608333333333333,,0.3656521739130435,1.4152941176470588,,,,,,,32.19291666666667,58.61833333333333,0.6825,297.7685714285714,199.44000000000003,997.7670833333333,0.4595833333333333
2012-08-20,,,7.396249999999999,12.500833333333333,9.983333333333333,,0.7925,1.0280952380952382,,,,,,,32.01541666666667,61.32041666666667,0.6687500000000001,286.02684210526314,180.52708333333337,998.7120833333333,0.4583333333333333
2012-08-21,,,6.796666666666667,18.78375,12.497916666666667,,0.8654166666666666,1.185,,,,,,,31.537916666666664,68.88708333333334,0.6579166666666666,277.4114285714286,131.54458333333332,1000.2533333333332,0.4558333333333333
2012-08-22,,,5.683333333333334,16.132083333333334,10.37,,0.38916666666666666,1.0125,,,,,,,30.821250000000003,75.6775,0.6758333333333333,279.93333333333334,129.88916666666668,1001.285,0.4583333333333333
2012-08-23,,,5.71,16.234583333333333,10.387500000000001,,0.36333333333333334,1.1279166666666667,,,,,,,30.88291666666667,76.2275,0.7041666666666666,273.2975,119.77833333333332,1001.3675,0.46291666666666664
2012-08-24,,,5.0062500000000005,16.505,9.922083333333333,,0.4983333333333333,2.2625,,,,,,,30.99416666666667,72.38708333333334,0.6679166666666667,261.8035,134.49791666666667,1001.2420833333334,0.4575
2012-08-25,,,5.589166666666667,19.213333333333335,11.732916666666666,,0.6862499999999999,0.9485714285714285,,,,,,,30.83666666666667,68.68291666666667,0.6420833333333333,307.4495,93.14291666666666,1000.3358333333334,0.45249999999999996
2012-08-26,,,5.613333333333333,17.600833333333334,11.097083333333332,,0.5641666666666667,1.1669565217391304,,,,,,,29.737083333333334,80.25625000000001,0.6416666666666667,309.63235294117646,90.61625,999.9175,0.4529166666666667
2012-08-27,,,10.631666666666666,21.392083333333332,16.7025,,0.6862499999999999,1.157391304347826,,,,,,,31.23875,63.85666666666666,0.6183333333333333,316.9375,122.72249999999998,999.7870833333333,0.4495833333333334
2012-08-28,,,9.715416666666666,22.949166666666667,16.80666666666667,,0.8375,0.8331818181818182,,,,,,,31.747500000000002,59.83083333333334,0.6254166666666666,338.4538095238095,135.72458333333333,1000.0058333333333,0.4504166666666667
2012-08-29,,,11.25625,25.968333333333334,19.444166666666668,,0.8154166666666667,1.1166666666666667,,,,,,,31.68375,65.17958333333333,0.64875,303.574347826087,161.52833333333334,999.4270833333334,0.45375000000000004
2012-08-30,,,8.177916666666667,22.776666666666667,15.623750000000001,,1.0495833333333333,0.985909090909091,,,,,,,30.453333333333333,72.65125,0.6854166666666667,288.615,106.20666666666666,999.1533333333333,0.46
2012-08-31,,,9.282083333333334,20.677916666666665,15.480416666666665,,0.22,1.0071428571428571,,,,,,,31.09166666666667,62.8025,0.6970833333333334,293.3225,166.40583333333333,998.9295833333334,0.46249999999999997
2012-09-01,,,9.145833333333334,15.15875,12.597916666666668,,0.19833333333333333,1.1095454545454546,,,,,,,31.894583333333333,59.252916666666664,0.6870833333333333,298.63625,169.78375,998.89,0.4608333333333334
2012-09-02,,,6.292916666666667,12.180833333333334,8.94875,,0.19499999999999998,1.1695833333333334,,,,,,,31.051666666666666,69.71041666666666,0.6537499999999999,292.29125,161.80333333333334,998.5908333333333,0.45541666666666664
2012-09-03,,,9.769583333333333,27.794583333333335,19.274583333333332,,0.3308333333333333,0.9317391304347826,,,,,,,31.124583333333334,77.2925,0.62875,292.84458333333333,96.70291666666667,997.1720833333334,0.45249999999999996
2012-09-04,,,12.935,20.440833333333334,17.97458333333333,,0.4054166666666667,1.2545454545454546,,,,,,,32.22,64.86666666666666,0.6575,309.1095833333333,156.86666666666667,998.1866666666666,0.4558333333333333
2012-09-05,,,8.215416666666666,18.86375,13.68125,,0.3,1.03875,,,,,,,32.36208333333333,62.072916666666664,0.6658333333333334,305.40208333333334,260.63916666666665,999.5404166666667,0.4575
2012-09-06,,,7.283333333333334,14.82125,10.845,,0.22999999999999998,0.9295238095238095,,,,,,,31.837083333333336,71.98208333333334,0.66375,275.99363636363637,210.90583333333333,1000.9533333333334,0.45708333333333334
2012-09-07,,,6.694166666666667,16.947083333333335,11.512083333333335,,0.3125,1.1823809523809523,,,,,,,30.83,80.9175,0.6016666666666667,275.869,136.6025,1001.27,0.44708333333333333
2012-09-08,,,7.379583333333333,16.763749999999998,12.031666666666666,,0.2791666666666667,0.97625,,,,,,,28.756666666666664,88.71375,0.625,264.15708333333333,121.22041666666667,1001.2658333333334,0.4491666666666667
